s,A(s) (GHz),B(s) (GHz),c (normalized)
0.000,9.62694800,0.23167120,0.00000000
0.001,9.53623600,0.23386310,0.00517198
0.002,9.44813500,0.23606540,0.01012274
0.003,9.36009200,0.23827790,0.01506858
0.004,9.27279700,0.24050080,0.01995364
0.005,9.18743500,0.24273400,0.02468094
0.006,9.10358400,0.24497760,0.02928347
0.007,9.01973300,0.24723140,0.03388600
0.008,8.93748700,0.24949560,0.03836165
0.009,8.85647900,0.25177010,0.04273879
0.010,8.77699100,0.25405490,0.04699419
0.011,8.69750400,0.25635000,0.05124960
0.012,8.61995100,0.25865550,0.05535687
0.013,8.54272700,0.26097130,0.05943901
0.014,8.46753800,0.26329740,0.06336358
0.015,8.39236400,0.26563380,0.06728697
0.016,8.31860600,0.26798050,0.07110551
0.017,8.24567100,0.27033760,0.07486319
0.018,8.17342900,0.27270500,0.07856905
0.019,8.10274700,0.27508270,0.08215814
0.020,8.03214200,0.27747070,0.08574177
0.021,7.96349100,0.27986900,0.08918545
0.022,7.89484000,0.28227770,0.09262913
0.023,7.82654400,0.28469670,0.09604728
0.024,7.76010100,0.28712600,0.09933221
0.025,7.69378900,0.28956560,0.10260810
0.026,7.62964700,0.29201550,0.10573390
0.027,7.56550500,0.29447580,0.10885970
0.028,7.50136400,0.29694640,0.11198540
0.029,7.43832900,0.29942730,0.11503490
0.030,7.37645200,0.30191850,0.11800450
0.031,7.31584200,0.30442010,0.12088990
0.032,7.25618300,0.30693190,0.12371220
0.033,7.19652500,0.30945410,0.12653450
0.034,7.13686600,0.31198660,0.12935680
0.035,7.07757000,0.31452950,0.13215500
0.036,7.01990000,0.31708260,0.13484570
0.037,6.96344600,0.31964610,0.13745900
0.038,6.90812000,0.32221990,0.14000070
0.039,6.85279300,0.32480400,0.14254230
0.040,6.79746700,0.32739840,0.14508390
0.041,6.74214000,0.33000320,0.14762560
0.042,6.68734400,0.33261820,0.15013370
0.043,6.63442400,0.33524360,0.15252330
0.044,6.58300000,0.33787940,0.15482160
0.045,6.53205100,0.34052540,0.15709100
0.046,6.48110200,0.34318170,0.15936040
0.047,6.43015300,0.34584840,0.16162980
0.048,6.37920500,0.34852540,0.16389920
0.049,6.32825600,0.35121270,0.16616860
0.050,6.27790700,0.35391040,0.16840190
0.051,6.22962200,0.35661830,0.17051240
0.052,6.18305000,0.35933660,0.17252340
0.053,6.13647700,0.36206520,0.17453430
0.054,6.08990400,0.36480410,0.17654530
0.055,6.04333200,0.36755340,0.17855620
0.056,5.99675900,0.37031290,0.18056720
0.057,5.95018600,0.37308280,0.18257820
0.058,5.90361400,0.37586300,0.18458910
0.059,5.85809000,0.37865350,0.18654000
0.060,5.81532600,0.38145440,0.18833600
0.061,5.77297400,0.38426550,0.19010920
0.062,5.73062200,0.38708700,0.19188250
0.063,5.68826900,0.38991880,0.19365570
0.064,5.64591700,0.39276100,0.19542890
0.065,5.60356500,0.39561340,0.19720210
0.066,5.56121300,0.39847620,0.19897530
0.067,5.51886000,0.40134930,0.20074850
0.068,5.47650800,0.40423270,0.20252170
0.069,5.43544400,0.40712640,0.20422640
0.070,5.39754000,0.41003050,0.20576330
0.071,5.35963500,0.41294480,0.20730010
0.072,5.32173000,0.41586950,0.20883700
0.073,5.28382600,0.41880450,0.21037380
0.074,5.24592100,0.42174990,0.21191070
0.075,5.20801700,0.42470550,0.21344750
0.076,5.17011200,0.42767150,0.21498440
0.077,5.13220700,0.43064780,0.21652120
0.078,5.09430300,0.43363440,0.21805810
0.079,5.05639800,0.43663130,0.21959490
0.080,5.01898600,0.43963860,0.22110740
0.081,4.98439200,0.44265620,0.22247890
0.082,4.95059300,0.44568410,0.22381010
0.083,4.91679300,0.44872230,0.22514140
0.084,4.88299400,0.45177080,0.22647260
0.085,4.84919500,0.45482970,0.22780390
0.086,4.81539600,0.45789880,0.22913510
0.087,4.78159700,0.46097830,0.23046640
0.088,4.74779800,0.46406820,0.23179760
0.089,4.71399800,0.46716830,0.23312890
0.090,4.68019900,0.47027880,0.23446020
0.091,4.64640000,0.47339950,0.23579140
0.092,4.61260100,0.47653060,0.23712270
0.093,4.58019300,0.47967210,0.23838900
0.094,4.54845600,0.48282380,0.23962410
0.095,4.51849600,0.48598590,0.24077450
0.096,4.48858300,0.48915830,0.24192270
0.097,4.45867100,0.49234100,0.24307100
0.098,4.42875800,0.49553400,0.24421920
0.099,4.39884600,0.49873730,0.24536740
0.100,4.36893300,0.50195100,0.24651560
0.101,4.33902000,0.50517500,0.24766380
0.102,4.30910800,0.50840930,0.24881200
0.103,4.27919500,0.51165390,0.24996030
0.104,4.24928300,0.51490890,0.25110850
0.105,4.21937000,0.51817420,0.25225670
0.106,4.18945800,0.52144970,0.25340490
0.107,4.15964600,0.52473570,0.25454870
0.108,4.13177500,0.52803190,0.25560800
0.109,4.10390500,0.53133840,0.25666720
0.110,4.07644300,0.53465530,0.25770840
0.111,4.05064400,0.53798250,0.25867600
0.112,4.02484500,0.54132000,0.25964350
0.113,3.99904500,0.54466790,0.26061110
0.114,3.97324600,0.54802600,0.26157860
0.115,3.94744700,0.55139450,0.26254620
0.116,3.92164800,0.55477330,0.26351370
0.117,3.89584800,0.55816240,0.26448130
0.118,3.87004900,0.56156180,0.26544890
0.119,3.84425000,0.56497160,0.26641640
0.120,3.81845000,0.56839170,0.26738400
0.121,3.79265100,0.57182210,0.26835150
0.122,3.76685200,0.57526280,0.26931910
0.123,3.74105300,0.57871380,0.27028670
0.124,3.71525300,0.58217520,0.27125420
0.125,3.69098000,0.58564690,0.27216020
0.126,3.66703200,0.58912890,0.27305300
0.127,3.64308300,0.59262120,0.27394590
0.128,3.61913500,0.59612380,0.27483870
0.129,3.59573200,0.59963680,0.27570930
0.130,3.57347200,0.60316010,0.27653310
0.131,3.55121300,0.60669370,0.27735680
0.132,3.52895400,0.61023760,0.27818060
0.133,3.50669400,0.61379190,0.27900430
0.134,3.48443500,0.61735640,0.27982810
0.135,3.46217600,0.62093130,0.28065190
0.136,3.43991600,0.62451650,0.28147560
0.137,3.41765700,0.62811200,0.28229940
0.138,3.39539800,0.63171790,0.28312310
0.139,3.37313900,0.63533410,0.28394690
0.140,3.35087900,0.63896060,0.28477060
0.141,3.32862000,0.64259740,0.28559440
0.142,3.30636100,0.64624450,0.28641820
0.143,3.28410100,0.64990200,0.28724190
0.144,3.26184200,0.65356970,0.28806570
0.145,3.24054400,0.65724780,0.28885340
0.146,3.21994500,0.66093620,0.28961500
0.147,3.19934600,0.66463500,0.29037650
0.148,3.17874700,0.66834400,0.29113800
0.149,3.15814800,0.67206340,0.29189960
0.150,3.13754800,0.67579310,0.29266110
0.151,3.11722800,0.67953310,0.29341220
0.152,3.09827600,0.68328340,0.29411190
0.153,3.07932400,0.68704410,0.29481160
0.154,3.06037100,0.69081510,0.29551130
0.155,3.04141900,0.69459640,0.29621110
0.156,3.02246600,0.69838800,0.29691080
0.157,3.00351400,0.70218990,0.29761050
0.158,2.98456200,0.70600220,0.29831020
0.159,2.96560900,0.70982480,0.29900990
0.160,2.94665700,0.71365770,0.29970960
0.161,2.92770500,0.71750090,0.30040930
0.162,2.90875200,0.72135440,0.30110900
0.163,2.88980000,0.72521830,0.30180880
0.164,2.87084800,0.72909250,0.30250850
0.165,2.85189500,0.73297700,0.30320820
0.166,2.83294300,0.73687180,0.30390790
0.167,2.81399000,0.74077700,0.30460760
0.168,2.79503800,0.74469240,0.30530730
0.169,2.77751200,0.74861820,0.30595840
0.170,2.76019900,0.75255430,0.30660230
0.171,2.74288600,0.75650080,0.30724610
0.172,2.72557300,0.76045750,0.30788990
0.173,2.70826000,0.76442460,0.30853380
0.174,2.69094700,0.76840200,0.30917760
0.175,2.67363400,0.77238970,0.30982150
0.176,2.65632100,0.77638770,0.31046530
0.177,2.63900800,0.78039610,0.31110920
0.178,2.62312000,0.78441470,0.31170500
0.179,2.60732400,0.78844370,0.31229770
0.180,2.59152800,0.79248300,0.31289040
0.181,2.57573200,0.79653270,0.31348310
0.182,2.55993600,0.80059260,0.31407580
0.183,2.54414000,0.80466290,0.31466850
0.184,2.52834400,0.80874350,0.31526120
0.185,2.51254900,0.81283440,0.31585390
0.186,2.49675300,0.81693560,0.31644670
0.187,2.48095700,0.82104720,0.31703940
0.188,2.46516100,0.82516910,0.31763210
0.189,2.44936500,0.82930130,0.31822480
0.190,2.43356900,0.83344380,0.31881750
0.191,2.41777300,0.83759660,0.31941020
0.192,2.40197800,0.84175980,0.32000290
0.193,2.38618200,0.84593330,0.32059560
